category,code
7 Tombs Road,0
AS Rao Nagar,1
Abdullapurmet,2
Abids,3
Adibatla,4
Adikmet,5
Ahilya Nagar,6
Ahmed Colony Hyderabad,7
Ahmed Nagar,8
Alair,9
Alkapur township,10
Almasguda,11
Alwal,12
Amangal,13
Amberpet,14
Ameenpur,15
Ameerpet,16
Aminpur,17
Annojiguda,18
Appa Junction,19
Appa Junction Peerancheru,20
Aremaishamma,21
Aroor,22
Ashok Nagar,23
Attapur,24
Auto Nagar,25
BB Nagar,26
BHEL Employees Co operative Housing Society,27
Bacharam,28
Bachupally,29
Badangpet,30
Bahadurpally,31
Bairagiguda,32
Balanagar,33
Balapur,34
Bandaraviryal,35
Bandlaguda Jagir,36
Banjara Hills,37
Basheer Bagh,38
Batasingaram,39
Beeramguda,40
Begum Bazar Chatri,41
Begumpet,42
Begumpet Flyover,43
Bhanur,44
Bhanur village,45
Bhongir,46
Bhuvanagiri,47
Bibinagar,48
Boduppal,49
Boduppal Dwaraka Nagar,50
Boduppal Road,51
Boiguda,52
Bolarum,53
Bollaram Industrial Area,54
Bowenpally,55
Bowrampet,56
Brindavan Colony,57
Bundalguda,58
Bureddipalle,59
Chandanagar,60
Chegunta,61
Chengicherla,62
Chennaram,63
Cherlapalli,64
Chevella,65
Chikkadapally,66
Chilkanagar,67
Choutuppal,68
DK Enclave,69
DK Road,70
DLF Cyber City,71
Dammaiguda,72
Deluxe Colony,73
Dhobipet,74
Diamond Hill Colony,75
Diamond Point Road,76
Digwal,77
Dilsukh Nagar,78
Dulapally,79
Dullapally,80
Dundigal,81
ECIL,82
East Marredpally,83
Eklaskhanpeta,84
Erragadda,85
Essamiya Bazar,86
Etebar Chowk Hyderabad,87
Excise Colony,88
Express Highway,89
Fair Lands,90
Falaknuma,91
Film Nagar,92
First Lancer Road,93
Flamingo,94
Friends Colony Bandam Kommu,95
Friends Colony Jawahar Colony,96
Friends Colony Sai Nagar,97
Gachibowli,98
Gaddi Annaram,99
Gagillapur,100
Gajularamaram,101
Gajulramaram Kukatpally,102
Gandipet,103
Gantlavelli,104
Gatkeshwar,105
General Bazar,106
Ghatkesar,107
Ghatkesar Road,108
Ghori Nagar,109
Ghouse Nagar,110
Giani Zail Singh Nagar,111
Godumakunta,112
Gopanpally,113
Gowrelly,114
Gundlapochampally,115
HB Colony Main Road,116
HCL Nagar,117
Habeeb Nagar,118
Habsiguda,119
Hafeezpet,120
Hafiz Baba Nagar,121
Hakimpet,122
Harshaguda,123
Hasmathpet,124
Hayathnagar,125
Hill Top Colony,126
Himayat Nagar,127
Himayatnagar,128
Hitech City,129
Humayunagar,130
Hyd Banglore Highway,131
Hyder Nagar,132
Hyder nagar kphb colony,133
Hyderabad Warangal Bhopalpatnam Highway,134
Hyderabad Warangal Hwy,135
IDPL Colony,136
Ibrahimpatnam,137
Indresham,138
Inole,139
Isnapur,140
JP Darga,141
Jadcherla,142
Jai Hind Nagar Road,143
Janachaitanya Colony,144
Janawada,145
Jawahar nagar,146
Jeedimetla,147
Jhangir Pet,148
Jubilee Hills,149
Kachiguda,150
Kadtal,151
Kadthal,152
Kamkole,153
Kanchan Bagh,154
Kandi,155
Kandukur,156
Kapra,157
Kavadiguda,158
Kavadipally,159
Khajaguda Nanakramguda Road,160
Khajiguda,161
Kismatpur,162
Kistareddypet,163
Kokapet,164
Kolanupaka,165
Kollur,166
Kollur Road,167
Kompally,168
Kondakal,169
Kondapur,170
Kongara Kalan,171
Kothaguda,172
Kothapet,173
Kothur,174
Kowkur,175
Krishna Nagar Colony,176
Kukatpally,177
Kushaiguda,178
LB Nagar,179
Lakdikapul,180
Lingampally,181
Linghampally,182
MES Colony,183
Maddur,184
Madeenaguda,185
Madhapur,186
Madhapur Ayyappa Society,187
Madinaguda,188
Mahabubnagar,189
Mahendra Hills,190
Mahesh Nagar,191
Maheshwaram,192
Malakpet,193
Malikdanguda,194
Malkajgiri,195
Malkapur,196
Mallampet,197
Mallapur,198
Mallepally,199
Manchirevula,200
Manikonda,201
Mankhal,202
Mansanpally,203
Mansanpally Highway,204
Mansarpally,205
